1;bot1;admin@bot1.png;bot_body_helmet_1;bot_plattform_4wheels_1;bot_weapon_T_maze_1;bot_weapon_L_flamer_1;bot_weapon_R_saw_1;0;0;2.732239;32.87796;132.8779;32.87796;150;1
2;bot2;admin@bot2.png;bot_body_android_1;bot_plattform_2wheels_1;bot_weapon_T_stinger_1;bot_weapon_L_shooter_1;bot_weapon_R_claw_1;0;0;250;50;150;50;150;1
3;bot1;test2@bot1.png;bot_body_cap_1;bot_plattform_3saws_1;bot_weapon_T_dblAxe_1;bot_weapon_L_claw_2;bot_weapon_R_shooter_1;0;0;300;50;150;50;150;2
4;bot1;test2@bot1.png;bot_body_cap_1;bot_plattform_3saws_1;bot_weapon_T_dblAxe_1;bot_weapon_L_claw_2;bot_weapon_R_shooter_1;0;0;100;100;150;100;150;3
5;bot1;test2@bot1.png;bot_body_cap_1;bot_plattform_3saws_1;bot_weapon_T_dblAxe_1;bot_weapon_L_claw_2;bot_weapon_R_shooter_1;0;0;100;100;150;100;150;4
6;bot1;test2@bot1.png;bot_body_cap_1;bot_plattform_3saws_1;bot_weapon_T_dblAxe_1;bot_weapon_L_claw_2;bot_weapon_R_shooter_1;0;0;100;100;150;100;150;5
7;bot1;test2@bot1.png;bot_body_cap_1;bot_plattform_3saws_1;bot_weapon_T_dblAxe_1;bot_weapon_L_claw_2;bot_weapon_R_shooter_1;0;0;100;100;150;100;150;6
8;bot1;test2@bot1.png;bot_body_cap_1;bot_plattform_3saws_1;bot_weapon_T_dblAxe_1;bot_weapon_L_claw_2;bot_weapon_R_shooter_1;0;0;100;100;150;100;150;7
9;bot1;test2@bot1.png;bot_body_cap_1;bot_plattform_3saws_1;bot_weapon_T_dblAxe_1;bot_weapon_L_claw_2;bot_weapon_R_shooter_1;0;0;100;100;150;100;150;8
10;bot1;test2@bot1.png;bot_body_cap_1;bot_plattform_3saws_1;bot_weapon_T_dblAxe_1;bot_weapon_L_claw_2;bot_weapon_R_shooter_1;0;0;100;100;150;100;150;9
11;bot1;test2@bot1.png;bot_body_cap_1;bot_plattform_3saws_1;bot_weapon_T_dblAxe_1;bot_weapon_L_claw_2;bot_weapon_R_shooter_1;0;0;100;100;150;100;150;10
12;bot1;test2@bot1.png;bot_body_cap_1;bot_plattform_3saws_1;bot_weapon_T_dblAxe_1;bot_weapon_L_claw_2;bot_weapon_R_shooter_1;0;0;100;100;150;100;150;11
13;bot1;test2@bot1.png;bot_body_cap_1;bot_plattform_3saws_1;bot_weapon_T_dblAxe_1;bot_weapon_L_claw_2;bot_weapon_R_shooter_1;0;0;100;100;150;100;150;12
14;bot1;test2@bot1.png;bot_body_cap_1;bot_plattform_3saws_1;bot_weapon_T_dblAxe_1;bot_weapon_L_claw_2;bot_weapon_R_shooter_1;0;0;100;100;150;100;150;13
15;bot1;test2@bot1.png;bot_body_cap_1;bot_plattform_3saws_1;bot_weapon_T_dblAxe_1;bot_weapon_L_claw_2;bot_weapon_R_shooter_1;0;0;100;100;150;100;150;14
16;bot1;test2@bot1.png;bot_body_cap_1;bot_plattform_3saws_1;bot_weapon_T_dblAxe_1;bot_weapon_L_claw_2;bot_weapon_R_shooter_1;0;0;100;100;150;100;150;15
17;bot1;test2@bot1.png;bot_body_cap_1;bot_plattform_3saws_1;bot_weapon_T_dblAxe_1;bot_weapon_L_claw_2;bot_weapon_R_shooter_1;0;0;100;100;150;100;150;16
18;bot1;test2@bot1.png;bot_body_cap_1;bot_plattform_3saws_1;bot_weapon_T_dblAxe_1;bot_weapon_L_claw_2;bot_weapon_R_shooter_1;0;0;100;100;150;100;150;17
